id,genres
1,1
1,2
2,3
2,4
3,3
4,5
5,3
5,6
6,7
6,1
6,8
7,2
7,9
7,10
7,11
8,10
8,2
9,2
9,1
9,8
10,12
10,8
10,6
11,13
11,8
11,2
12,3
12,14
12,8
12,4
12,11
13,12
13,1
14,10
14,3
14,9
15,2
15,8
16,3
17,2
18,2
18,1
18,6
19,10
19,3
19,2
20,2
20,13
21,5
21,7
21,6
22,5
23,8
23,15
23,1
23,2
24,2
24,6
25,2
25,11
25,3
26,3
26,16
27,3
27,16
28,15
28,2
28,8
29,2
29,10
29,3
30,3
30,17
31,8
31,3
31,14
31,2
31,4
32,2
32,13
33,12
33,8
33,15
33,7
33,14
33,3
33,2
34,15
34,8
34,2
35,7
35,2
35,15
36,3
36,2
37,8
37,15
37,5
38,15
38,7
38,8
39,15
39,8
39,2
39,7
39,4
39,14
40,7
40,2
40,1
41,2
41,18
41,13
42,5
42,7
42,2
43,2
44,2
44,6
45,15
45,4
45,5
45,7
45,11
45,9
46,8
46,3
46,15
46,14
46,2
46,4
46,10
47,2
47,17
48,2
48,1
48,7
49,7
49,8
49,1
49,12
49,6
50,2
50,8
50,18
50,13
51,2
51,7
51,8
51,1
52,2
52,11
52,10
53,3
53,2
53,11
53,10
53,6
54,15
54,8
54,2
54,4
54,14
55,7
55,6
55,1
55,2
56,2
56,10
56,3
57,2
57,10
58,10
58,2
59,3
59,2
59,9
59,10
60,10
60,3
60,2
61,2
61,7
61,1
62,8
62,2
62,15
62,7
62,5
63,1
63,16
63,2
64,2
64,10
64,6
65,2
65,10
66,7
66,1
66,2
67,8
67,2
67,1
67,7
67,3
68,3
69,2
69,11
70,15
70,7
70,2
70,4
70,5
71,3
71,2
71,10
72,3
73,3
73,6
74,3
74,17
75,15
75,11
75,4
75,14
75,8
76,15
76,9
76,7
76,8
77,4
77,14
77,8
77,3
77,11
77,2
78,2
78,17
79,7
79,8
79,6
80,7
80,1
80,2
81,15
81,14
81,2
81,4
81,9
81,3
81,11
82,15
82,14
82,1
82,2
82,4
82,7
83,15
83,2
83,7
83,4
83,5
83,10
84,3
85,2
86,7
86,16
86,1
86,2
87,15
87,3
87,14
87,8
87,4
87,7
88,2
88,1
89,7
89,8
89,2
90,2
90,4
90,10
91,7
91,8
92,1
92,2
92,18
92,8
92,6
93,1
93,8
93,7
94,2
94,3
94,10
95,2
95,10
96,3
96,9
97,2
97,17
98,5
98,6
99,3
99,1
100,2
101,12
101,2
102,7
102,8
102,13
102,6
103,4
103,10
103,11
104,2
104,6
105,2
105,18
105,13
105,8
106,3
106,11
106,10
107,7
108,8
108,15
108,2
108,4
108,6
109,4
109,10
109,14
109,2
109,11
110,5
110,2
110,4
110,7
110,6
111,1
111,2
111,7
111,6
112,14
112,2
112,10
112,3
112,11
112,4
112,15
113,7
113,2
114,15
114,8
114,3
114,2
114,14
115,2
115,7
115,1
116,15
116,14
116,8
116,2
116,7
116,13
117,2
117,4
117,8
117,18
118,2
118,17
118,6
119,2
119,3
119,6
120,2
120,10
120,6
121,5
121,7
121,1
121,2
122,2
122,8
122,7
123,15
123,7
123,2
124,3
124,2
125,3
125,2
125,10
126,2
127,15
127,7
127,3
127,2
127,5
127,6
128,14
128,10
128,3
128,2
129,2
129,10
129,17
130,4
130,11
130,8
130,13
130,2
130,7
130,14
131,3
132,2
133,15
133,8
133,3
133,2
133,4
133,14
134,2
134,18
134,17
134,8
135,2
135,11
136,1
136,7
136,2
136,8
137,2
137,6
137,18
138,2
138,10
139,3
139,1
140,10
140,18
140,13
140,8
140,2
141,3
141,2
141,10
142,2
142,3
142,10
143,7
143,1
143,8
143,6
144,2
144,9
145,10
145,1
145,3
146,3
146,1
147,3
147,2
147,18
147,1
148,2
148,6
149,2
149,3
149,10
150,2
150,1
150,7
150,8
151,3
151,7
151,10
151,2
152,2
152,10
153,3
153,2
153,8
153,1
154,1
154,8
154,2
154,18
155,3
155,2
156,7
156,1
156,2
156,10
156,8
157,10
157,16
157,2
157,6
158,2
158,10
158,7
158,8
158,3
159,2
159,1
159,8
159,7
160,15
160,3
161,2
161,3
161,10
162,3
162,2
162,10
163,10
163,2
164,7
164,2
164,10
165,3
165,2
165,10
166,10
166,2
167,2
167,3
168,2
168,10
168,13
168,8
169,3
169,2
169,10
170,2
170,3
170,10
171,3
171,2
172,2
172,1
172,8
173,7
173,8
173,1
173,2
174,2
174,18
174,8
175,2
176,2
176,7
176,1
177,2
177,10
177,3
178,1
178,8
178,18
179,2
179,18
179,6
180,10
180,3
180,2
181,3
181,10
182,7
182,2
183,12
183,2
184,12
184,8
184,1
184,2
185,7
185,15
185,2
185,1
185,8
186,2
186,3
187,3
187,10
188,2
188,7
189,4
189,10
189,3
190,2
190,7
190,1
190,6
191,2
191,8
191,17
192,2
192,8
192,3
192,1
192,14
192,16
192,11
192,4
193,2
193,10
193,18
193,13
194,8
194,1
194,2
194,15
195,1
195,7
195,2
196,1
196,7
196,8
197,2
197,10
197,3
198,8
198,15
198,3
198,2
198,11
198,4
198,14
199,15
199,8
199,14
199,2
199,12
199,3
199,4
199,10
199,7
200,2
200,18
200,10
200,1
201,4
201,13
201,14
201,8
201,2
201,5
202,2
202,11
202,17
203,3
203,11
203,14
204,1
204,3
204,2
205,2
205,13
205,8
205,18
206,15
206,8
206,14
206,2
206,4
206,7
207,15
207,5
207,11
207,14
207,8
207,2
207,4
208,2
208,4
208,10
208,14
209,2
209,14
209,11
209,3
209,4
210,2
211,4
211,2
211,5
211,14
211,8
212,2
212,16
213,3
213,2
214,2
214,3
214,10
215,3
215,8
215,1
215,7
216,10
216,3
216,2
216,6
217,8
217,7
217,1
217,6
218,7
218,1
218,4
218,2
219,4
219,2
219,3
220,2
220,10
220,8
220,3
221,2
221,17
221,7
221,8
221,1
222,1
222,2
222,7
223,15
223,2
223,4
223,10
224,2
224,1
224,6
225,15
225,8
225,2
225,4
225,5
225,14
226,2
226,1
226,7
227,3
227,14
227,11
227,4
227,6
228,15
228,2
228,8
229,1
229,7
229,2
230,15
230,8
230,1
230,2
230,7
231,2
231,10
231,15
232,2
232,17
233,7
233,2
233,13
234,1
234,7
234,2
234,5
234,6
235,2
235,8
235,15
236,2
236,7
236,1
237,2
237,8
237,17
237,6
238,2
238,4
239,4
239,3
239,11
239,14
239,8
240,3
240,9
240,10
240,2
241,7
241,5
242,2
242,3
242,14
243,2
244,2
244,3
244,1
245,15
245,2
245,4
245,5
246,2
246,3
247,3
247,2
248,8
248,2
248,18
248,16
249,2
249,1
249,7
250,13
250,7
250,2
251,8
251,15
251,4
251,14
251,3
251,2
252,2
252,3
252,6
253,2
253,6
254,8
254,15
254,3
254,4
254,14
255,3
255,6
256,2
256,10
256,4
256,5
256,8
256,14
256,3
257,2
257,6
257,13
257,10
258,13
258,8
258,2
258,18
259,2
259,9
260,7
260,6
260,2
260,15
260,1
261,3
261,9
261,16
262,9
263,2
263,10
264,16
265,2
265,3
265,10
266,3
266,2
266,10
266,4
266,15
267,13
267,16
268,7
268,13
268,1
268,2
268,10
269,2
269,8
269,1
269,7
270,3
270,2
270,10
271,2
271,1
271,10
272,2
272,3
273,2
273,17
274,10
274,3
274,2
275,2
275,3
276,2
276,17
276,8
277,7
277,1
277,2
278,2
278,18
278,10
279,16
279,8
280,2
280,3
280,10
281,3
282,7
282,8
282,2
283,3
283,2
283,1
284,8
284,13
284,2
284,18
284,6
285,15
285,2
285,4
285,5
285,7
286,3
287,3
287,2
288,15
288,3
288,10
288,2
288,4
289,8
289,15
289,3
289,5
289,4
289,7
290,8
290,4
290,15
290,14
290,3
291,2
292,2
292,7
292,8
292,1
293,2
293,18
293,6
294,3
294,2
294,6
295,3
295,2
295,8
296,12
296,7
296,8
296,1
296,2
297,15
297,1
297,2
297,4
298,5
298,2
298,4
298,6
299,3
299,14
299,8
299,11
299,4
299,2
300,2
300,15
300,4
301,2
301,7
302,15
302,2
302,4
303,3
304,15
304,7
304,2
305,1
305,2
305,3
305,13
306,3
306,6
307,3
307,2
308,12
308,1
308,2
308,7
309,2
309,7
310,3
310,2
310,1
311,15
311,2
311,7
311,1
312,7
312,1
312,2
312,6
313,2
313,7
313,1
314,11
314,4
314,10
314,14
314,8
315,13
315,8
315,2
315,7
316,8
316,2
317,15
317,3
317,1
317,2
317,5
318,15
318,2
318,7
318,8
319,2
319,18
319,10
319,13
319,16
319,3
319,6
320,3
320,2
321,2
322,3
323,10
323,14
323,2
323,11
324,13
324,2
324,18
324,10
324,7
324,6
325,2
325,1
325,6
326,13
326,7
326,8
326,2
327,2
328,2
328,8
328,4
329,2
329,14
329,4
329,15
329,7
330,7
330,5
330,2
331,2
331,3
331,10
332,14
332,15
332,8
332,2
332,4
332,7
332,5
333,13
333,2
333,8
334,4
334,2
334,7
334,14
334,11
334,6
335,2
335,3
336,3
336,2
337,2
337,10
338,1
338,16
339,2
339,10
339,6
340,3
340,14
340,2
341,2
341,3
342,16
343,2
343,7
343,8
343,3
343,6
344,16
344,18
344,1
345,15
345,4
345,7
345,2
346,13
346,2
347,8
347,15
347,4
347,14
347,3
347,2
347,11
348,9
348,16
349,7
349,13
349,2
349,8
349,18
349,6
350,3
350,2
351,2
351,8
351,18
352,2
352,9
353,10
353,2
354,8
354,2
354,17
355,3
355,9
355,16
356,2
356,18
357,1
357,16
357,6
358,8
358,18
358,2
359,3
359,2
359,6
360,7
360,1
360,2
361,10
361,3
361,2
361,11
362,2
362,3
362,10
362,16
362,6
363,2
364,2
364,3
364,10
365,1
365,8
365,2
366,3
366,2
366,10
367,7
367,1
367,2
368,7
368,1
368,2
369,2
369,3
369,10
370,7
370,1
370,8
370,2
371,5
371,7
371,4
372,2
372,8
372,1
372,3
373,7
373,2
374,1
374,7
374,2
375,3
376,1
376,7
376,2
377,15
377,7
377,8
377,2
378,15
378,1
378,2
378,7
379,4
379,15
379,2
379,3
380,2
380,18
380,7
380,13
380,8
380,6
381,7
381,1
381,2
381,12
382,2
382,1
382,17
383,1
383,2
383,7
384,7
384,8
384,1
384,2
385,10
385,2
386,8
386,3
386,2
386,17
387,7
387,1
387,2
387,10
388,1
388,2
388,7
388,8
388,6
389,2
389,3
390,3
390,2
390,1
391,13
391,1
391,2
391,7
391,6
392,15
392,7
392,8
392,2
393,2
393,15
393,3
394,2
394,13
394,18
394,7
394,11
395,1
395,7
395,2
395,6
396,2
396,15
396,5
396,7
397,15
397,3
397,7
397,8
397,1
397,4
398,3
398,2
399,7
399,2
399,5
400,1
400,16
401,14
401,3
401,10
402,3
402,2
403,2
403,3
403,1
404,2
404,11
405,16
405,1
405,7
405,2
406,12
406,3
406,2
406,10
407,2
407,15
407,8
408,3
408,5
409,3
409,2
410,1
410,3
410,2
410,10
410,7
411,2
411,3
411,17
411,19
412,7
412,1
412,2
413,15
413,2
413,4
413,5
413,14
413,8
414,2
414,3
415,3
415,2
416,2
416,7
416,1
417,2
417,6
418,8
418,11
418,3
418,2
419,3
419,2
419,1
420,7
420,8
420,1
420,2
420,6
421,16
421,7
421,17
422,2
422,14
422,15
422,4
422,10
423,2
423,1
424,7
424,1
424,2
424,6
425,2
425,7
425,3
425,1
425,6
426,1
426,2
427,15
427,14
427,8
427,2
427,4
427,5
428,16
428,18
428,6
429,2
429,3
430,2
430,13
430,18
431,2
431,8
431,18
431,13
432,19
433,7
433,8
434,2
434,7
435,2
435,3
436,10
436,3
436,2
437,15
437,14
437,8
437,2
437,11
437,4
437,7
438,2
438,1
438,7
438,6
439,10
439,2
439,18
439,13
440,1
440,16
441,2
441,13
442,3
442,16
443,15
443,8
443,11
443,14
443,4
443,3
443,2
444,14
444,3
444,7
444,4
444,10
444,2
445,2
445,3
446,4
446,14
446,2
446,11
447,15
447,11
447,4
447,14
447,3
447,2
448,15
448,7
448,4
448,2
449,2
449,6
450,16
451,4
451,8
451,2
452,7
452,2
452,16
452,4
452,9
452,10
452,6
453,3
453,16
454,4
454,2
454,6
455,2
455,3
455,17
455,6
456,7
456,5
456,1
456,15
457,2
457,1
458,4
458,2
458,10
459,3
460,3
460,2
461,16
462,2
462,5
462,7
462,6
463,1
463,8
463,6
464,7
464,9
464,2
464,3
464,1
465,2
465,18
465,13
466,7
466,3
466,1
466,2
467,8
467,4
467,15
467,14
467,3
467,11
468,2
468,6
469,2
469,10
470,2
470,7
470,1
471,9
471,16
472,2
472,8
472,18
472,1
473,8
473,7
473,1
473,2
474,4
474,11
474,3
475,8
475,2
475,1
476,2
476,7
476,8
476,1
477,19
478,7
478,8
479,2
479,8
480,9
481,7
481,8
481,1
482,3
482,2
482,10
483,5
483,3
484,1
484,7
484,2
485,2
485,9
486,2
486,3
487,7
487,1
488,10
488,3
489,2
489,18
489,8
490,3
491,3
491,2
492,2
492,3
493,3
493,1
493,8
494,14
494,15
494,8
494,4
494,7
494,5
495,2
495,3
496,3
496,2
497,3
497,2
497,4
497,15
497,8
498,15
498,8
498,2
498,4
498,5
499,2
499,7
499,3
499,1
500,16
500,17
501,2
501,17
502,2
502,1
502,3
