title,type,release_year,mpa_rating,runtime,seasons,imdb_id,imdb_score,imdb_votes
Free to Play,MOVIE,2014,NOT_RATED,75,,tt3203290,7.9,13308
Coming Soon,MOVIE,2014,PG,134,,tt3698408,7.5,33714
Wedding Association,MOVIE,2013,PG_13,106,,tt3726104,7.1,22186
Madras Cafe,MOVIE,2013,PG_13,130,,tt2855648,7.7,24319
Better Call Saul,SHOW,2015,TV_MA,49,6.0,tt3032476,8.8,404920
The Last Kingdom,SHOW,2015,TV_MA,55,5.0,tt4179452,8.5,126473
Stranger Things,SHOW,2016,TV_14,52,5.0,tt4575572,8.7,989090
Schitt's Creek,SHOW,2015,TV_14,22,6.0,tt3526078,8.5,112537
Grace and Frankie,SHOW,2015,TV_MA,30,7.0,tt3609352,8.2,48435
The Good Place,SHOW,2016,TV_14,23,4.0,tt4955642,8.2,148562
Ash vs Evil Dead,SHOW,2015,TV_MA,30,3.0,tt4189022,8.4,70087
One-Punch Man,SHOW,2015,TV_PG,24,2.0,tt4508902,8.7,148386
Chicago Med,SHOW,2015,TV_14,41,8.0,tt4655480,7.6,24142
Queen of the South,SHOW,2016,TV_MA,42,5.0,tt1064899,7.9,28537
The Crown,SHOW,2016,TV_MA,56,5.0,tt4786824,8.7,190878
Call My Agent!,SHOW,2015,TV_MA,55,4.0,tt4277922,8.3,13331
Hunt for the Wilderpeople,MOVIE,2016,PG_13,101,,tt4698684,7.8,125720
Hell or High Water,MOVIE,2016,R,102,,tt2582782,7.6,224900
Lucifer,SHOW,2016,TV_14,47,6.0,tt4052886,8.1,308291
Raw,MOVIE,2016,R,98,,tt4954522,7.0,72460
Kung Fu Panda 3,MOVIE,2016,PG,95,,tt2267968,7.1,152791
The Magicians,SHOW,2015,TV_14,44,5.0,tt4254242,7.6,49557
Nocturnal Animals,MOVIE,2016,R,115,,tt4551306,7.5,264884
The OA,SHOW,2016,TV_MA,55,2.0,tt4635282,7.9,100911
Kim's Convenience,SHOW,2016,TV_14,22,5.0,tt5912064,8.3,16970
Sense8,SHOW,2015,TV_MA,62,2.0,tt2431438,8.2,151518
War Dogs,MOVIE,2016,R,114,,tt2005151,7.1,208185
Crashing,SHOW,2016,TV_MA,30,1.0,tt5295524,7.7,18546
Norsemen,SHOW,2016,TV_MA,30,3.0,tt5905354,7.7,18040
The Hateful Eight,MOVIE,2015,R,188,,tt3460252,7.8,570138
Bloodline,SHOW,2015,TV_MA,57,3.0,tt0219432,7.9,50028
Tangerine,MOVIE,2015,R,87,,tt3824458,7.1,31385
Travelers,SHOW,2016,TV_MA,45,3.0,tt5651844,8.0,54566
Legend,MOVIE,2015,R,132,,tt3569230,6.9,175273
Narcos,SHOW,2015,TV_MA,52,3.0,tt2707408,8.8,404486
Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV_Y7,22,4.0,tt2580046,7.7,10102
Designated Survivor,SHOW,2016,TV_PG,44,3.0,tt5296406,7.5,88019
Into the Badlands,SHOW,2015,TV_14,43,3.0,tt3865236,7.9,45628
iZombie,SHOW,2015,TV_14,42,5.0,tt3501584,7.8,66488
Dark Matter,SHOW,2015,TV_14,43,3.0,tt3116070,7.5,41867
Versailles,SHOW,2015,TV_MA,54,3.0,tt3830558,7.9,16273
The Edge of Seventeen,MOVIE,2016,R,104,,tt1878870,7.3,120488
Steve Jobs,MOVIE,2015,R,122,,tt3565344,7.2,166288
Crazy Ex-Girlfriend,SHOW,2015,TV_14,42,4.0,tt4094300,7.8,19738
A Silent Voice: The Movie,MOVIE,2016,PG_13,130,,tt5323662,8.1,75132
Medici: Masters of Florence,SHOW,2016,TV_14,54,3.0,tt5057130,7.9,18575
Bordertown,SHOW,2016,TV_MA,59,3.0,tt4937942,7.6,10371
Fauda,SHOW,2015,TV_MA,40,3.0,tt4565380,8.3,25239
Christine,MOVIE,2016,R,115,,tt4666726,6.9,14977
Bāhubali: The Beginning,MOVIE,2015,PG_13,159,,tt2631186,8.0,117333
ERASED,SHOW,2016,TV_14,22,1.0,tt5249462,8.5,42699
The Conjuring 2,MOVIE,2016,R,134,,tt3065204,7.3,260693
Love,SHOW,2016,TV_MA,32,3.0,tt4061080,7.7,41362
Gantz:O,MOVIE,2016,NC_17,95,,tt5923962,7.1,14501
Shooter,SHOW,2016,TV_14,41,3.0,tt4181172,7.5,35547
A Monster Calls,MOVIE,2016,PG_13,108,,tt3416532,7.5,86614
Master of None,SHOW,2015,TV_MA,32,3.0,tt4635276,8.3,72341
Unbreakable Kimmy Schmidt,SHOW,2015,TV_14,30,4.0,tt3339966,7.6,70242
Loving,MOVIE,2016,PG_13,123,,tt4669986,7.0,34139
Making a Murderer,SHOW,2015,TV_14,62,2.0,tt5189670,8.6,93456
The Danish Girl,MOVIE,2015,R,119,,tt0810819,7.1,180805
F is for Family,SHOW,2015,TV_MA,28,5.0,tt4326894,8.0,36050
The Fundamentals of Caring,MOVIE,2016,R,97,,tt2452386,7.3,70542
Winter on Fire: Ukraine's Fight for Freedom,MOVIE,2015,NOT_RATED,98,,tt4908644,8.3,17710
Locked Up,SHOW,2015,TV_MA,50,4.0,tt4524056,8.2,21388
13th,MOVIE,2016,NOT_RATED,100,,tt5895028,8.2,34914
Frequency,SHOW,2016,TV_14,18,3.0,tt5531470,7.5,13625
Beasts of No Nation,MOVIE,2015,R,137,,tt1365050,7.7,80129
Trollhunters: Tales of Arcadia,SHOW,2016,TV_Y7,22,3.0,tt1734135,8.4,16509
"What Happened, Miss Simone?",MOVIE,2015,NOT_RATED,101,,tt5108670,7.6,13703
The Siege of Jadotville,MOVIE,2016,NOT_RATED,108,,tt3922798,7.2,38308
Gilmore Girls: A Year in the Life,SHOW,2016,TV_14,92,1.0,tt5435008,7.6,36359
Ip Man 3,MOVIE,2015,PG_13,105,,tt2888046,7.0,54128
The Get Down,SHOW,2016,TV_MA,62,2.0,tt4592410,8.2,22304
Blue Jay,MOVIE,2016,NOT_RATED,81,,tt5912454,7.3,17033
Dangal,MOVIE,2016,PG,161,,tt5074352,8.4,180247
Bo Burnham: Make Happy,MOVIE,2016,NOT_RATED,60,,tt5777636,8.4,14356
Suffragette,MOVIE,2015,PG_13,106,,tt3077214,6.9,41529
Amanda Knox,MOVIE,2016,NOT_RATED,92,,tt5952332,6.9,23969
Marco Polo: One Hundred Eyes,MOVIE,2015,NOT_RATED,28,,tt5248968,7.8,10742
The Distinguished Citizen,MOVIE,2016,NOT_RATED,118,,tt4562518,7.5,11495
Drishyam,MOVIE,2015,R,163,,tt4430212,8.2,79075
