title,type,release_year,mpa_rating,runtime,seasons,imdb_id,imdb_score,imdb_votes
Official Secrets,MOVIE,2019,R,112,,tt5431890,7.3,45200
Hollywood,SHOW,2020,TV_MA,50,1.0,tt9827854,7.5,35067
Conversations with a Killer: The Ted Bundy Tapes,SHOW,2019,TV_MA,59,1.0,tt9425132,7.8,27439
I Am Not Okay with This,SHOW,2020,TV_MA,21,1.0,tt9446688,7.5,56459
Unorthodox,SHOW,2020,TV_MA,54,1.0,tt7607544,8.0,74118
The Half of It,MOVIE,2020,PG_13,104,,tt9683478,6.9,34959
Dolemite Is My Name,MOVIE,2019,R,118,,tt8526872,7.2,59836
Ragnarok,SHOW,2020,TV_MA,47,2.0,tt9251798,7.5,36185
The Professor and the Madman,MOVIE,2019,NOT_RATED,124,,tt5932728,7.2,44418
Pieces of a Woman,MOVIE,2020,R,127,,tt11161474,7.0,47795
Five Feet Apart,MOVIE,2019,PG_13,116,,tt6472976,7.2,61878
The Politician,SHOW,2019,TV_14,43,2.0,tt7971476,7.5,21887
Fyre,MOVIE,2019,NOT_RATED,98,,tt9412098,7.2,44715
Our Planet,SHOW,2019,TV_G,50,1.0,tt9253866,9.3,41386
The Spy,SHOW,2019,TV_MA,53,1.0,tt5952634,7.9,40535
The Highwaymen,MOVIE,2019,R,132,,tt1860242,6.9,88714
The Dirt,MOVIE,2019,R,108,,tt0800325,6.9,47603
Ma Rainey's Black Bottom,MOVIE,2020,R,94,,tt10514222,6.9,50275
David Attenborough: A Life on Our Planet,MOVIE,2020,PG,83,,tt11989890,9.0,31180
It's Okay to Not Be Okay,SHOW,2020,TV_MA,76,1.0,tt12451520,8.6,21104
The Two Popes,MOVIE,2019,PG_13,125,,tt8404614,7.6,120871
Messiah,SHOW,2020,TV_MA,45,1.0,tt7671598,7.6,42018
Undercover,SHOW,2019,TV_MA,49,3.0,tt7263154,7.8,16773
American Factory,MOVIE,2019,NOT_RATED,110,,tt9351980,7.4,21415
Caliphate,SHOW,2020,TV_MA,48,1.0,tt11398870,8.2,17735
The Wolf's Call,MOVIE,2019,NOT_RATED,115,,tt7458762,6.9,17236
Dash & Lily,SHOW,2020,TV_14,25,1.0,tt11127506,7.5,16978
The Boy Who Harnessed the Wind,MOVIE,2019,NOT_RATED,113,,tt7533152,7.6,36805
The Great Hack,MOVIE,2019,NOT_RATED,114,,tt9358204,7.1,22838
Ip Man 4: The Finale,MOVIE,2019,PG,107,,tt2076298,7.0,30694
The Devil Next Door,SHOW,2019,TV_MA,46,1.0,tt11165002,7.6,13084
American Murder: The Family Next Door,MOVIE,2020,R,83,,tt12987894,7.2,26355
I Lost My Body,MOVIE,2019,NOT_RATED,81,,tt9806192,7.5,31531
Teenage Bounty Hunters,SHOW,2020,TV_MA,49,1.0,tt10584608,7.6,10821
Klaus,MOVIE,2019,PG,97,,tt4729430,8.1,141480
The Game Changers,MOVIE,2019,NOT_RATED,88,,tt7455754,7.8,19708
Bill Burr: Paper Tiger,MOVIE,2019,NOT_RATED,67,,tt10847306,8.1,10649
Tell Me Who I Am,MOVIE,2019,NOT_RATED,85,,tt10915286,7.6,14215
Paddleton,MOVIE,2019,R,89,,tt8041276,7.1,13419
Inside Bill's Brain: Decoding Bill Gates,SHOW,2019,TV_14,50,1.0,tt10837476,7.9,10776
Rise of Empires: Ottoman,SHOW,2020,NOT_RATED,45,2.0,tt9244578,7.9,22045
How to Sell Drugs Online (Fast),SHOW,2019,TV_MA,32,3.0,tt9184994,7.9,30734
The Best of Enemies,MOVIE,2019,PG_13,133,,tt4807408,7.3,16441
Home for Christmas,SHOW,2019,TV_MA,29,2.0,tt10069398,7.7,13670
Quicksand,SHOW,2019,TV_MA,46,1.0,tt8686106,7.5,21077
Ala Vaikunthapurramuloo,MOVIE,2020,PG_13,165,,tt9537292,7.5,14839
Itaewon Class,SHOW,2020,TV_MA,69,1.0,tt11239552,8.2,12030
Miss Americana,MOVIE,2020,R,85,,tt11388580,7.4,19151
Dave Chappelle: Sticks & Stones,MOVIE,2019,R,65,,tt10810424,8.4,25687
The Trials of Gabriel Fernandez,SHOW,2020,TV_MA,55,1.0,tt11822998,8.1,10982
Spinning Out,SHOW,2020,TV_MA,50,1.0,tt9117054,7.6,13692
Athlete A,MOVIE,2020,PG_13,104,,tt11905462,7.6,10544
Then Came You,MOVIE,2019,PG_13,93,,tt4859168,6.9,12356
Love 101,SHOW,2020,TV_14,46,2.0,tt10516352,7.5,13797
Knock Down the House,MOVIE,2019,PG,86,,tt9358052,7.1,12418
System Crasher,MOVIE,2019,NOT_RATED,118,,tt8535968,7.8,12699
The Edge of Democracy,MOVIE,2019,NOT_RATED,121,,tt6016744,7.2,14605
Miracle in Cell No. 7,MOVIE,2019,NOT_RATED,132,,tt10431500,8.2,46939
Kota Factory,SHOW,2019,TV_MA,42,2.0,tt9432978,9.3,66985
Rose Island,MOVIE,2020,NOT_RATED,117,,tt10287954,7.0,20019
Super Deluxe,MOVIE,2019,NC_17,176,,tt7019942,8.4,13680
Delhi Crime,SHOW,2019,TV_MA,27,1.0,tt9398466,8.5,18732
Kabir Singh,MOVIE,2019,NOT_RATED,172,,tt8983202,7.2,30949
Badla,MOVIE,2019,PG_13,120,,tt8130968,7.8,27130
Ludo,MOVIE,2020,PG_13,150,,tt7212754,7.6,37528
AK vs AK,MOVIE,2020,NOT_RATED,108,,tt11651796,6.9,14048
Article 15,MOVIE,2019,NOT_RATED,130,,tt10324144,8.2,32336
Love,MOVIE,2020,NOT_RATED,91,,tt12573294,7.0,1485
Raat Akeli Hai,MOVIE,2020,NOT_RATED,149,,tt12567088,7.3,17570
Torbaaz,MOVIE,2020,NOT_RATED,132,,tt7805960,7.0,17828
Heartstopper,SHOW,2022,TV_14,28,1.0,tt10638036,8.9,28978
The Power of the Dog,MOVIE,2021,R,126,,tt10293406,6.9,158487
Arcane,SHOW,2021,TV_14,41,1.0,tt11126994,9.1,175412
"tick, tick... BOOM!",MOVIE,2021,PG_13,121,,tt8721424,7.5,96418
Midnight Mass,SHOW,2021,TV_MA,64,1.0,tt10574558,7.7,102321
Don't Look Up,MOVIE,2021,R,138,,tt11286314,7.2,498447
Squid Game,SHOW,2021,TV_MA,54,2.0,tt10919420,8.0,416738
The Mitchells vs. the Machines,MOVIE,2021,PG,113,,tt7979580,7.6,100787
Maid,SHOW,2021,TV_MA,54,1.0,tt11337908,8.4,74955
Shadow and Bone,SHOW,2021,TV_14,52,1.0,tt2403776,7.6,77782
Lupin,SHOW,2021,TV_MA,46,3.0,tt2531336,7.5,100575
All of Us Are Dead,SHOW,2022,TV_MA,61,1.0,tt14169960,7.5,41393
Gangubai Kathiawadi,MOVIE,2022,NOT_RATED,157,,tt10083340,7.0,44045
Cowboy Bebop,SHOW,2021,TV_MA,45,1.0,tt1267295,6.6,35427
The Hand of God,MOVIE,2021,R,130,,tt12680684,7.4,30235
The Unforgivable,MOVIE,2021,R,112,,tt11233960,7.1,101975
The Tinder Swindler,MOVIE,2022,NOT_RATED,114,,tt14992922,7.2,57606
Sweet Tooth,SHOW,2021,TV_14,45,2.0,tt12809988,7.8,49182
Inside Job,SHOW,2021,TV_MA,28,1.0,tt10231312,7.6,15137
The Trip,MOVIE,2021,NOT_RATED,113,,tt13109952,6.9,19706
The Chestnut Man,SHOW,2021,TV_MA,55,1.0,tt10834220,7.7,41253
True Story,SHOW,2021,TV_MA,39,1.0,tt13655456,7.5,16927
14 Peaks: Nothing Is Impossible,MOVIE,2021,NOT_RATED,101,,tt14079374,7.8,22858
Halston,SHOW,2021,TV_MA,47,1.0,tt10920514,7.5,14040
Bo Burnham: Inside,MOVIE,2021,R,87,,tt14545352,8.7,44074
Young Royals,SHOW,2021,TV_MA,45,1.0,tt14664414,8.3,26732
The Serpent,SHOW,2021,TV_MA,57,1.0,tt7985576,7.6,41782
Radhe Shyam,MOVIE,2022,NOT_RATED,138,,tt8960382,6.9,21328
My Name,SHOW,2021,TV_MA,50,1.0,tt12940504,7.8,18446
The Innocent,SHOW,2021,TV_MA,58,1.0,tt10147644,7.8,29019
The Dig,MOVIE,2021,PG_13,112,,tt3661210,7.1,71915
Night Stalker: The Hunt for a Serial Killer,SHOW,2021,TV_MA,47,1.0,tt13651632,7.5,23939
The Witcher: Nightmare of the Wolf,MOVIE,2021,NOT_RATED,83,,tt11657662,7.2,41508
Vincenzo,SHOW,2021,NOT_RATED,81,1.0,tt13433812,8.4,15134
Dave Chappelle: The Closer,MOVIE,2021,NOT_RATED,72,,tt15523010,8.0,24903
The White Tiger,MOVIE,2021,R,125,,tt6571548,7.1,58190
Seaspiracy,MOVIE,2021,NOT_RATED,80,,tt14152756,8.1,29604
Badhaai Do,MOVIE,2022,NOT_RATED,147,,tt11934846,7.3,15032
83,MOVIE,2021,NOT_RATED,163,,tt7518786,7.4,23781
Dasvi,MOVIE,2022,NOT_RATED,125,,tt14107554,8.0,13140
DOTA: Dragon's Blood,SHOW,2021,TV_MA,26,2.0,tt14069590,7.8,17429
Schumacher,MOVIE,2021,NOT_RATED,112,,tt10322274,7.4,21558
Wish Dragon,MOVIE,2021,PG,99,,tt5562070,7.2,24712
Minnal Murali,MOVIE,2021,NOT_RATED,158,,tt7268738,8.1,24681
Monster,MOVIE,2021,R,98,,tt10229074,6.5,5574
Dhamaka,MOVIE,2021,NOT_RATED,104,,tt13510660,7.5,39620
Ferry,MOVIE,2021,NOT_RATED,106,,tt14217100,7.0,10748
Doctor,MOVIE,2021,NOT_RATED,150,,tt11374902,7.6,14590
Shyam Singha Roy,MOVIE,2021,NOT_RATED,157,,tt13349716,7.9,10903
Chandigarh Kare Aashiqui,MOVIE,2021,NOT_RATED,117,,tt12861850,6.9,12303
Haseen Dillruba,MOVIE,2021,NOT_RATED,135,,tt11027830,7.0,25771
Meenakshi Sundareshwar,MOVIE,2021,NOT_RATED,141,,tt13529034,7.4,17141
Kurup,MOVIE,2021,NOT_RATED,155,,tt7026666,7.4,11582
